F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Class
11.7,4.02,-4.34,9.9,29.79,89.58,0.63,23,10.35,158.56,-7.88,0.03,1,1.96,,False
11.7,4.2,-3.68,10.98,17.46,179.58,0.05,11,8.3,110.56,-3.1,0.84,1,1.5,,False
37.7,25.8,3.6,0.48,12.24,407.58,-0.29,230,4.06,254.56,6.68,21.6,10,7.63,,True
7.7,5.4,0.3,9.42,19.86,119.58,0.29,12,7.61,66.56,-1.84,1.05,1,2.27,12.17,True
15.7,5.58,-2.58,16.34,17.49,146.58,-0.64,25,9.86,106.56,-4.36,1.68,1,1.28,,False
15.7,2.55,0.5,16.54,19.65,179.58,-0.78,21,8.69,92.56,-2.62,1.89,1,1.52,,False
11.7,4.38,-11.68,15.18,17.76,62.58,0.78,38,8.35,140.56,-3.26,2.37,1,1.87,12.7,True
37.7,41.25,10.06,0.08,4.26,77.58,0.4,140,4.37,184.56,-0.9,20.25,10,7.43,11.09,False
17.7,45.75,6.68,-0.36,1.86,-132.42,-0.36,255,2.58,174.56,7.32,27.3,10,7.63,,True
37.7,25.5,8.64,2.9,5.76,-102.42,-1.58,65,3.86,424.56,4.68,24.45,10,6.83,,False
15.7,0.24,0.68,12.6,17.55,146.58,-0.83,5,7.56,150.56,-3.1,1.29,1,1.87,10.31,False
15.7,3.33,0.42,11.2,23.55,140.58,-0.36,10,7.49,108.56,-5.82,1.77,1,1.81,11.59,True
37.7,22.8,10,8.8,5.04,-117.42,2.51,120,3.74,404.56,6.52,24.6,10,7.68,9.35,False
17.7,28.8,2.6,4.28,8.25,122.58,-1.69,135,4.91,504.56,3.5,24.45,10,6.98,,False
11.7,1.8,-0.98,13.4,18.57,176.58,0.11,15,7.52,78.56,-4.9,1.44,1,2.02,12.26,True
11.7,5.07,-0.06,9.02,19.26,176.58,0.17,30,9.12,138.56,-2.26,2.85,1,1.76,,True
11.7,5.13,0.32,10.36,16.53,137.58,-0.01,66,7.61,146.56,-12.62,2.91,1,2.29,,True
11.7,2.61,-3.54,9.1,18,119.58,0.64,43,7.92,128.56,-6.94,2.01,1,1.92,12.06,False
15.7,5.76,1.06,9.24,18.27,128.58,0.33,10,7.81,132.56,-8.08,1.65,1,1.81,,True
57.7,25.05,11.4,-1.2,4.17,152.58,-1.46,190,2.95,154.56,7,19.95,10,9.03,12.19,True
17.7,18.9,7.7,0.36,3.78,47.58,0.1,285,3.43,294.56,5.96,16.05,10,8.83,,False
15.7,2.37,1.34,16.1,19.71,158.58,-0.4,3,7.83,108.56,-2.76,0.51,1,2.1,,True
17.7,39,7.68,-0.38,4.47,32.58,-0.41,205,3.37,364.56,5.62,28.5,10,7.08,,True
17.7,23.4,8.74,5.4,5.13,-87.42,-0.54,120,3.58,144.56,0.54,15.9,10,8.13,,False
17.7,42.15,6.92,-1.22,5.61,-87.42,-0.08,280,2.77,154.56,8.32,29.85,10,7.48,11.04,True
37.7,32.85,11.1,2.62,6.96,-147.42,-1.06,185,3.13,324.56,8.08,15.15,10,10.68,,True
37.7,16.65,7.86,3.98,11.13,47.58,-0.51,80,4.04,514.56,4.06,23.85,10,7.03,,False
7.7,3.09,0.66,10.78,19.05,101.58,0.98,9,10.48,70.56,-8.92,1.26,1,1.83,9.65,False
57.7,24.75,9.96,0.84,10.23,242.58,-0.97,210,3.35,354.56,4.28,19.65,5,7.33,10.67,True
11.7,6.03,-0.54,9.3,19.77,77.58,0.17,8,9.26,72.56,-3.74,2.88,1,1.23,9.92,False
15.7,4.98,0.86,14.94,18.36,152.58,-0.42,5,9.49,106.56,-6.66,0.96,1,1.98,,True
