F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,Target
11.85,-258.09,-6.95,2557.29,Low,Europe,7.59,-28.22,-259.22,-1578.12,-141.76,9,6,20.19,169.26,1.64,999.41
11.99,-169.71,-16.06,2862.87,Low,Rest,2.57,-13.76,-321.8,-1914.16,-165.83,6,6,9.51,6259.05,0.08,0
3.48,-317.76,-8.14,2175.81,Medium,UK,1.6,-32.76,-253.54,457.12,-203.87,15,10,7.02,38504.82,6.4,266.29
14.75,-394.26,-5.61,1927.86,Low,UK,7.33,-13.42,-149.86,-1972.04,-145.52,6,10,33.99,20883.9,21.98,598.77
10.25,-365.46,-10.33,3187.98,High,USA,4.37,-32.66,-224.58,-2022.36,-153.94,12,10,4.29,12095.91,2167.48,396.9
13.53,-335.79,-8.29,2206.65,Low,UK,5.02,-23.2,-207.38,-631.46,-146.87,6,12,4.47,3531.39,2.36,0
18.28,-242.46,-8.14,1817.07,Medium,UK,6.96,-20.48,-185.98,-1308.3,-166.39,24,6,8.25,-2423.37,396.24,355.64
13.77,-582.57,-4.37,1646.94,Very low,Europe,2.21,-22.24,-171.54,-737.9,-161.1,24,12,4.02,-16962.81,0,1909.21
9.45,-321.6,-11.06,2814.78,Very low,USA,2.66,-24.46,-189.42,-1348.38,-261.51,18,10,17.19,-19361.13,175.08,377.3
7.81,-316.11,-3.08,2180.73,High,USA,4.44,-15.14,-206.5,-700.46,7.07,12,10,7.56,8019.27,853.4,561.66
14.19,-276.81,-8.28,2007.6,Medium,USA,1.79,-30.34,-199.88,-635.56,-172.56,12,4,6.78,15250.86,24.66,80.16
4.87,-216.36,-4.05,1920.03,Low,USA,10.64,-26.04,-265.02,-1335.88,-191.45,15,14,7.02,20772.99,0.12,0
11.7,-355.77,-5.67,4001.37,Very low,Europe,2.63,-21.02,-278.22,-682.36,-155.78,18,4,12.63,9472.5,1.06,2447.35
10.67,-194.37,-4.36,1881.6,Very low,Europe,2.31,-16.02,-192.12,-1372.26,-183.34,15,8,8.43,-3708.45,802.02,0
14.5,-374.13,-7.11,3114.27,High,USA,2.24,-20.22,-169.3,-1270.42,-162.75,12,14,8.73,23347.35,1.98,371.01
8.8,-439.77,-11.88,3364.44,Very high,UK,3.32,-15.54,-224.18,-1094.86,-269.49,12,8,13.68,5787.21,1.8,1129.01
10.39,-357.78,-7.15,3571.74,Very low,Europe,5.7,-17.46,-203.24,-1589.44,-131.81,6,12,9.3,11397.45,1.02,0
12.77,-431.31,-7.53,2515.89,Medium,USA,5.1,-19.58,-134.38,-871.98,-188.22,3,10,12.84,11153.94,9.34,1668.45
12.64,-128.64,-5.77,2984.79,Very high,UK,8.76,-20.72,-203.18,-3435.84,-120.83,21,8,5.43,14928.42,0.1,0
8.36,-341.52,-8.01,1552.53,High,Rest,6.43,-21.58,-305.94,-1167.5,-150.46,18,2,1.11,12061.38,0.34,1140.17
5.13,-411.66,-8.97,2073.15,High,Rest,0.62,-30.38,-251.66,-1408.52,-217.78,9,6,6.3,3994.05,3.68,235.33
9.9,-203.55,-8.05,2609.01,High,Europe,2.57,-9.76,-133.02,-1172.8,-88.53,6,14,20.55,6580.77,0.28,0
7.39,-460.83,-2.14,2076.72,Very high,Europe,6.28,-21.9,-271.16,-1353.4,-66.29,3,6,25.2,554.76,0.4,2757.3
10.6,-332.34,-8.18,2580.75,Low,Europe,1.37,-15.36,-198.06,-1310.92,-170.94,12,8,6.51,21872.67,2.44,0
11.38,-401.01,-3.26,2800.44,Medium,Europe,2.37,-8.32,-255.96,-1389.7,-84.01,9,4,23.61,5894.4,734.76,2177.47
10.56,-250.89,-11.72,2713.32,Very low,USA,2.15,-27.16,-292.94,-382.18,-50.67,21,8,9.75,10115.07,0.3,318.33
5.1,-384.09,-9.17,3573.18,Medium,USA,1.3,-21.52,-234.06,-221.06,-166.72,3,12,7.02,5349.51,1090.66,392.95
7.34,-370.26,-4.86,1973.82,Low,UK,4.1,-22.56,-157.92,-847.7,-143.41,3,4,14.76,6131.7,0.84,282.5
7.69,-304.92,-6.17,2987.22,High,USA,0.24,-20.66,-222.24,-2044.16,-221.85,12,2,1.2,2898.36,160.86,0
15.78,-162.96,-13.71,2637.15,High,Europe,1.86,-17.4,-116.62,-1655.04,-226.16,12,8,6.39,-5375.07,84.42,0
9.55,-273.78,-10.27,3292.77,Very low,Europe,4.55,-26.12,-215.8,-1895.94,-160.98,12,10,5.52,31611.84,216.62,0
4.88,-377.67,-7.79,3134.22,Very low,UK,7.63,-26.96,-202.68,-1072.2,-92.09,9,12,11.25,5367.06,0.06,434.07
